district,community,primary_water_source,water_scarcity,scarcity_months,perceived_water_source,belief_underground_rivers,belief_groundwater_exhausted,belief_groundwater_replenished,belief_recharge_detectable,rwh_practice,rwh_barrier,rwh_use,belief_rwh_recharge,belief_rwh_expensive,belief_rwh_unreliable,recharge_solutions,rwh_support_needed
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By protecting the remaining natural resources in our areas.,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,Yes,"September, October, November, December",Underground Storage,NA,FALSE,TRUE,Don't know,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees.,"Training and demonstrations, Community by-laws or encouragement, Subsidies or financial assistance"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,Don't Know,By planting more trees ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,FALSE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees and practicing good farming technology.,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By planting more trees.,"Training and demonstrations, Community by-laws or encouragement, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,Planting more trees and practicing good farming technology.,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By caring the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more than ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,NA,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,Planting trees and practicing good farming technology.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,Yes,"September, October, November",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,TRUE,By protecting the remaining natural resources.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,TRUE,Don't know ,Subsidies or financial assistance
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,Rainwater harvesting ,"Subsidies or financial assistance, Community by-laws or encouragement, Training and demonstrations"
Balaka,Lore ,borehole,Yes,"October, November, December",Underground Storage,TRUE,TRUE,FALSE,Don't know,No,Do not know about the practice,NA,Don't Know,Don't Know,Don't Know,Don't know ,None
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,Planting more trees and woodlots ,"Subsidies or financial assistance, Community by-laws or encouragement, Training and demonstrations"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By adoption rainwater harvesting ,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees and vegetation ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,Don't Know,FALSE,By planting more trees and vegetation ,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees and vegetation.,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting and protecting the remaining natural resources.,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,Planting more trees and vegetation ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees ,"Training and demonstrations, Community by-laws or encouragement, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,TRUE,By planting more trees and vegetation ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By practicing rain water harvesting ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,Don't Know,By planting more trees and vegetation on the ground ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Don't know,No,Lack of knowledge or training,NA,TRUE,TRUE,NA,By planting trees ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,TRUE,By planting more trees and vegetation.,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,TRUE,By planting trees ,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees and vegetation ,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,Yes,"October, November, December",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,Planting more trees and vegetation.,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,NA,TRUE,Don't Know,By planting trees and vegetation on bare ground.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees and vegetation on bare ground.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,TRUE,By planting more vegetation.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By practice rain water harvesting.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,TRUE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,No,No,Lack of knowledge or training,NA,TRUE,FALSE,TRUE,By planting more trees ,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By practicing rainwater harvesting.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,NA,FALSE,FALSE,By planting trees and vegetation on the ground.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,Don't Know,By practicing rainwater harvesting.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By doing rainwater harvesting ,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting trees and vegetation ,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore ,borehole,Yes,"October, November",Underground Storage,TRUE,NA,NA,Don't know,No,Lack of knowledge or training,NA,Don't Know,Don't Know,Don't Know,No idea ,None
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,TRUE,By protecting the remaining natural resources ,Subsidies or financial assistance
Chikwawa,Lore ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By practicing rainwater harvesting.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Lore,borehole,No,NA,Underground Storage,FALSE,FALSE,FALSE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By protecting the remaining natural resources.,Subsidies or financial assistance
Chikwawa,Sigaleti,piped_tap,Yes,"September, October, November, December",NA,FALSE,FALSE,FALSE,NA,No,Do not know about the practice,NA,FALSE,FALSE,FALSE,People should continue praying to God inorder to have mercy.,Community by-laws or encouragement
Chikwawa,Namungu,borehole,Yes,"August, September, October, November, December",Underground Storage,FALSE,FALSE,FALSE,No,No,Lack of knowledge or training,NA,FALSE,FALSE,FALSE,People have to be trained on that,Training and demonstrations
Chikwawa,Nyamungu,borehole,Yes,"October, November, December",Underground Storage,NA,NA,TRUE,No,Yes,NA,Washing/Cleaning,FALSE,FALSE,FALSE,Planting trees in marginalized area will help ,Training and demonstrations
Chikwawa,Nyamungu ,borehole,Yes,"October, November, December",Underground Storage,TRUE,FALSE,FALSE,Yes,No,Do not know about the practice,NA,Don't Know,Don't Know,Don't Know,Encouraging community members to plant trees in large scale land,Training and demonstrations
Chikwawa,Nyamungu ,borehole,Yes,"November, October, December",Underground Storage,FALSE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,Don't Know,Don't Know,Don't Know,Through afforestation ,Training and demonstrations
Chikwawa,Nyamungu ,borehole,Yes,"October, November, December",Underground Storage,TRUE,TRUE,TRUE,Yes,Yes,NA,Washing/Cleaning,FALSE,FALSE,FALSE,Through construction of check dams and making swales ,Community by-laws or encouragement
Chikwawa,Nyamungu ,borehole,No,NA,Underground Storage,NA,FALSE,FALSE,Don't know,No,Do not know about the practice,NA,Don't Know,Don't Know,Don't Know,By Afforestation ,Training and demonstrations
Chikwawa,Chikaoneka,borehole,No,NA,Underground Storage,TRUE,TRUE,FALSE,Yes,Yes,NA,Washing/Cleaning,FALSE,FALSE,FALSE,By stopping cutting down trees carelessly ,Training and demonstrations
Chikwawa,Chikaoneka ,borehole,No,NA,Underground Storage,TRUE,TRUE,TRUE,Yes,Yes,NA,Washing/Cleaning,Don't Know,FALSE,FALSE, Re-afforestation may help to reduce run-off ,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Chikaoneka ,borehole,No,NA,Underground Storage,NA,NA,TRUE,Yes,Yes,NA,Washing/Cleaning,Don't Know,FALSE,FALSE,By putting laws restricting people not to cut down trees ,Community by-laws or encouragement
Balaka,Phalula 1,borehole,Yes,"October, September",Rain,TRUE,FALSE,TRUE,NA,Yes,NA,Washing/Cleaning,TRUE,FALSE,FALSE,Planting trees surrounding the water catchment ,Training and demonstrations
Balaka,Phalula 1,borehole,No,NA,Underground Storage,FALSE,TRUE,FALSE,Yes,Yes,NA,Washing/Cleaning,Don't Know,TRUE,TRUE,Diging a houshold shallow well,"Training and demonstrations, Subsidies or financial assistance, Labour support, Community by-laws or encouragement"
